fromNode	zip
473	98103
474	98103
474	98103
475	98103
475	98103
476	98103
476	98103
477	98103
477	98103
478	98103
478	98103
479	98103
479	98103
480	98103
480	98103
481	98103
481	98103
482	98103
482	98103
483	98103
483	98103
484	98103
484	98103
485	98103
485	98103
486	98103
486	98103
487	98103
487	98103
488	98103
488	98103
489	98103
489	98103
490	98103
490	98103
491	98103
491	98103
492	98103
492	98103
493	98103
493	98103
494	98103
494	98103
495	98103
495	98103
496	98103
496	98103
497	98103
497	98103
498	98103
498	98103
499	98103
499	98103
500	98103
500	98103
501	98103
501	98103
502	98103
502	98103
503	98103
503	98103
504	98103
504	98103
505	98103
505	98103
506	98103
506	98103
507	98103
507	98103
508	98103
508	98103
509	98103
509	98103
510	98103
510	98103
511	98103
511	98103
512	98103
512	98103
513	98103
513	98103
514	98103
514	98103
515	98103
515	98103
516	98103
516	98103
517	98103
517	98103
518	98103
518	98103
519	98103
519	98103
520	98103
520	98103
521	98103
521	98103
522	98103
522	98103
523	98103
523	98103
524	98103
524	98103
525	98103
525	98103
526	98103
526	98103
527	98103
527	98103
528	98103
528	98103
529	98103
530	98103
531	98103
532	98103
533	98103
534	98103
535	98103
536	98103
537	98103
538	98103
539	98103
540	98103
541	98103
542	98103
543	98103
544	98103
545	98103
546	98103
547	98103
548	98103
549	98103
550	98103
551	98103
552	98103
553	98103
554	98103
555	98103
556	98103
557	98103
558	98103
559	98103
560	98103
561	98103
562	98103
563	98103
564	98103
565	98103
566	98103
567	98103
568	98103
569	98103
570	98103
571	98103
572	98103
573	98103
574	98103
575	98103
576	98103
577	98103
578	98103
579	98103
580	98103
581	98103
582	98103
583	98103
584	98103
585	98103
586	98103
587	98103
588	98103
589	98103
590	98103
591	98103
592	98103
593	98103
594	98103
595	98103
596	98103
597	98103
598	98103
599	98103
600	98103
601	98103
602	98103
603	98103
604	98103
605	98103
606	98103
607	98103
608	98103
609	98103
610	98103
611	98103
612	98103
613	98103
614	98103
615	98103
616	98103
617	98103
618	98103
619	98103
620	98103
621	98103
622	98103
623	98103
624	98103
625	98103
626	98103
627	98103
628	98103
629	98103
630	98103
631	98103
632	98103
633	98103
634	98103
